Number;Taxon;Age;Clade;Formation;Reference;FABL;CH;BW;ADL;PDL
a2416;Hell Creek Dromaeosauridae;Lancian;Dromaeosauridae;Hell Creek;Sankey 2008;3.7;10;;;0.2
a2417;Hell Creek Dromaeosauridae;Lancian;Dromaeosauridae;Hell Creek;Sankey 2008;3.5;6;;;0.166666667
a2418;Hell Creek Dromaeosauridae;Lancian;Dromaeosauridae;Hell Creek;Sankey 2008;3.3;5;;;0.181818182
a2419;Hell Creek Dromaeosauridae;Lancian;Dromaeosauridae;Hell Creek;Sankey 2008;3.4;5;;;0.181818182
a2420;Hell Creek Dromaeosauridae;Lancian;Dromaeosauridae;Hell Creek;Sankey 2008;4;8;;;0.166666667
a2421;Hell Creek Dromaeosauridae;Lancian;Dromaeosauridae;Hell Creek;Sankey 2008;3;5;;;0.166666667
a2422;Hell Creek Dromaeosauridae;Lancian;Dromaeosauridae;Hell Creek;Sankey 2008;2.5;4.5;;;0.153846154
a2423;Hell Creek Dromaeosauridae;Lancian;Dromaeosauridae;Hell Creek;Sankey 2008;3;4;;;0.166666667
a2424;Hell Creek Dromaeosauridae;Lancian;Dromaeosauridae;Hell Creek;Sankey 2008;3;5;;;0.2
a2425;Hell Creek Dromaeosauridae;Lancian;Dromaeosauridae;Hell Creek;Sankey 2008;2.3;4;;;0.125
a2426;Hell Creek Dromaeosauridae;Lancian;Dromaeosauridae;Hell Creek;Sankey 2008;4;7;;;0.181818182
a2427;Hell Creek Dromaeosauridae;Lancian;Dromaeosauridae;Hell Creek;Sankey 2008;3;6;;;0.166666667
a2428;Hell Creek Dromaeosauridae;Lancian;Dromaeosauridae;Hell Creek;Sankey 2008;5;8;;;0.166666667
a2429;Hell Creek Dromaeosauridae;Lancian;Dromaeosauridae;Hell Creek;Sankey 2008;6;15;;;0.25
a2430;Hell Creek Dromaeosauridae;Lancian;Dromaeosauridae;Hell Creek;Sankey 2008;9;17;;;0.25
a2431;Hell Creek Dromaeosauridae;Lancian;Dromaeosauridae;Hell Creek;Sankey 2008;4.5;7;;;0.223214286
a2432;Hell Creek Dromaeosauridae;Lancian;Dromaeosauridae;Hell Creek;Sankey 2008;5;10;;;0.222222222
a2433;Hell Creek Dromaeosauridae;Lancian;Dromaeosauridae;Hell Creek;Sankey 2008;4.5;9;;;0.2
a2434;Hell Creek Dromaeosauridae;Lancian;Dromaeosauridae;Hell Creek;Sankey 2008;3.2;8;;;0.2
a2435;Hell Creek Dromaeosauridae;Lancian;Dromaeosauridae;Hell Creek;Sankey 2008;4;7;;;0.166666667
a2436;Hell Creek Dromaeosauridae;Lancian;Dromaeosauridae;Hell Creek;Sankey 2008;6;10;;;0.285714286
a2437;Hell Creek Dromaeosauridae;Lancian;Dromaeosauridae;Hell Creek;this study;6.375;;3.1875;0.204081633;0.256410256
a2438;Hell Creek Acheroraptor temertyorum;Lancian;Dromaeosauridae;Hell Creek;Evans, Larson, and Currie, in prep;7.5;13.125;3.375;0.128205128;0.217391304
a2439;Hell Creek Acheroraptor temertyorum;Lancian;Dromaeosauridae;Hell Creek;Evans, Larson, and Currie, in prep;7.375;12;3;0.151515152;0.212765957
a2440;Hell Creek Acheroraptor temertyorum;Lancian;Dromaeosauridae;Hell Creek;Evans, Larson, and Currie, in prep;6.375;10.125;3;0.131578947;0.208333333
a2441;Hell Creek Acheroraptor temertyorum;Lancian;Dromaeosauridae;Hell Creek;Evans, Larson, and Currie, in prep;7.125;12;3.25;;0.227272727
a2442;Hell Creek Acheroraptor temertyorum;Lancian;Dromaeosauridae;Hell Creek;Evans, Larson, and Currie, in prep;7;;3;0.142857143;0.208333333
a2443;Hell Creek Acheroraptor temertyorum;Lancian;Dromaeosauridae;Hell Creek;Evans, Larson, and Currie, in prep;5.625;;2.75;;0.2
a2444;Hell Creek Saurornitholestinae;Lancian;Dromaeosauridae;Hell Creek;this study;6.9375;11.0625;3;0.096153846;0.231481481
a2445;Hell Creek Saurornitholestinae;Lancian;Dromaeosauridae;Hell Creek;this study;5.6875;13.25;3.0625;0;0.263157895
a2446;Hell Creek Saurornitholestinae;Lancian;Dromaeosauridae;Hell Creek;this study;7.4375;12.0625;3.3125;0;0.238095238
a2447;Hell Creek Saurornitholestinae;Lancian;Dromaeosauridae;Hell Creek;this study;;12.54;2.6875;;0.227272727
a2448;Hell Creek Saurornitholestinae;Lancian;Dromaeosauridae;Hell Creek;this study;5.8125;9.125;2.8125;0.149253731;0.212765957
a2449;Hell Creek Saurornitholestinae;Lancian;Dromaeosauridae;Hell Creek;this study;3.5;;1.375;;0.169491525
a2450;Hell Creek Saurornitholestinae;Lancian;Dromaeosauridae;Hell Creek;this study;6.8125;10.5625;2.5313;0.172413793;0.222222222
a2451;Hell Creek Saurornitholestinae;Lancian;Dromaeosauridae;Hell Creek;this study;5.75;9.6875;3.0625;0;0.263157895
a2452;Hell Creek Saurornitholestinae;Lancian;Dromaeosauridae;Hell Creek;this study;4.9375;7.75;2.3125;0.119047619;0.212765957
a2453;Hell Creek Saurornitholestinae;Lancian;Dromaeosauridae;Hell Creek;this study;5.875;11.375;2.9375;0.135135135;0.243902439
a2454;Hell Creek Saurornitholestinae;Lancian;Dromaeosauridae;Hell Creek;this study;3.375;6.375;1.5625;0.125;0.185185185
a2455;Hell Creek Saurornitholestinae;Lancian;Dromaeosauridae;Hell Creek;this study;3.4375;5.6563;1.625;0;0.185185185
a2456;Hell Creek Saurornitholestinae;Lancian;Dromaeosauridae;Hell Creek;this study;5.1;;2.1;0.125;0.204081633
a2457;Hell Creek Saurornitholestinae;Lancian;Dromaeosauridae;Hell Creek;this study;5;;2.5;0.135135135;0.208333333
a2458;Hell Creek Saurornitholestinae;Lancian;Dromaeosauridae;Hell Creek;this study;5.9;10.6;2.7;0.117647059;0.25
a2459;Hell Creek Saurornitholestinae fang;Lancian;Dromaeosauridae;Hell Creek;this study;3.0625;6.1875;1.875;0;0.185185185
a2460;Hell Creek Saurornitholestinae fang;Lancian;Dromaeosauridae;Hell Creek;this study;3.125;6.25;2.1875;0;0.222222222
a2461;Hell Creek Saurornitholestinae fang;Lancian;Dromaeosauridae;Hell Creek;this study;3.875;7.875;2.625;0;0.238095238
a2462;Hell Creek Saurornitholestinae fang;Lancian;Dromaeosauridae;Hell Creek;this study;2.3125;3.2188;0.9375;0;0.14084507
a2463;Hell Creek Saurornitholestinae fang;Lancian;Dromaeosauridae;Hell Creek;this study;3.75;7.875;3.0625;0;0.243902439
a2464;Hell Creek Saurornitholestinae no ridges;Lancian;Dromaeosauridae;Hell Creek;this study;6.875;13.25;3.25;0.188679245;0.2
a2465;Hell Creek Saurornitholestinae no ridges;Lancian;Dromaeosauridae;Hell Creek;this study;5.625;9.125;2.625;0.161290323;0.227272727
a2466;Hell Creek Saurornitholestinae no ridges;Lancian;Dromaeosauridae;Hell Creek;this study;3.125;4.375;1.25;0.149253731;0.185185185
a2467;Hell Creek Saurornitholestinae no ridges;Lancian;Dromaeosauridae;Hell Creek;this study;3.6875;4.5;1.5;0;0.185185185
a2468;Hell Creek Saurornitholestinae no ridges;Lancian;Dromaeosauridae;Hell Creek;this study;3.5813;6.25;1.5188;0.128205128;0.15625
a2469;Hell Creek Saurornitholestinae no ridges;Lancian;Dromaeosauridae;Hell Creek;this study;7.625;12.5;3.6688;0.231481481;0.25
a2470;Hell Creek Saurornitholestinae no ridges;Lancian;Dromaeosauridae;Hell Creek;this study;5.0625;7.3125;2.1875;0;0.185185185
a2471;Hell Creek Saurornitholestinae no ridges;Lancian;Dromaeosauridae;Hell Creek;this study;10.24;18.82;4.74;0.25;0.256410256
a2472;Hell Creek Saurornitholestinae no ridges;Lancian;Dromaeosauridae;Hell Creek;this study;8.43;15.44;4.16;0.243902439;0.243902439
a2473;Hell Creek Saurornitholestinae no ridges;Lancian;Dromaeosauridae;Hell Creek;this study;3.375;4.6875;1.4375;0.137362637;0.208333333
a2474;Hell Creek Saurornitholestinae no ridges;Lancian;Dromaeosauridae;Hell Creek;this study;3.4375;4.75;1.375;0.12345679;0.169491525
a2475;Hell Creek Saurornitholestinae no ridges;Lancian;Dromaeosauridae;Hell Creek;this study;2.25;3.0625;1.0625;0.149253731;0.188679245
a2476;Hell Creek Saurornitholestinae no ridges;Lancian;Dromaeosauridae;Hell Creek;this study;6.6875;10.6875;3.3125;0.181818182;0.217391304
a2477;Hell Creek Saurornitholestinae no ridges;Lancian;Dromaeosauridae;Hell Creek;this study;6.6875;9.75;3.375;0.185185185;0.25
a2478;Hell Creek Saurornitholestinae no ridges;Lancian;Dromaeosauridae;Hell Creek;this study;8.63;14.38;3.6875;0.240384615;0.245098039
a2479;Hell Creek Saurornitholestinae no ridges;Lancian;Dromaeosauridae;Hell Creek;this study;3.0625;4.0938;1.3125;0.145348837;0.186567164
a2480;Hell Creek Saurornitholestinae no ridges;Lancian;Dromaeosauridae;Hell Creek;this study;7.1875;11.9375;3.4375;0.208333333;0.294117647
a2481;Hell Creek Saurornitholestinae no ridges;Lancian;Dromaeosauridae;Hell Creek;this study;6;10.6875;3.1875;0.204081633;0.208333333
a2482;Hell Creek Saurornitholestinae no ridges;Lancian;Dromaeosauridae;Hell Creek;this study;3.0625;4.1875;1.5625;0.133333333;0.227272727
a2483;Hell Creek Saurornitholestinae no ridges;Lancian;Dromaeosauridae;Hell Creek;this study;7.4375;11.5;3.5;0.238095238;0.294117647
a2484;Hell Creek Saurornitholestinae no ridges;Lancian;Dromaeosauridae;Hell Creek;this study;7.75;11.1875;3.625;0.222222222;0.357142857
a2485;Hell Creek Saurornitholestinae no ridges;Lancian;Dromaeosauridae;Hell Creek;this study;7.375;12.9375;3.6875;0.212765957;0.256410256
a2486;Hell Creek Saurornitholestinae no ridges;Lancian;Dromaeosauridae;Hell Creek;this study;7.4375;11.0625;3.6875;0.2;0.263157895
a2487;Hell Creek Saurornitholestinae no ridges;Lancian;Dromaeosauridae;Hell Creek;this study;6.3125;9.4375;3;0.231481481;0.256410256
a2488;Hell Creek Saurornitholestinae no ridges;Lancian;Dromaeosauridae;Hell Creek;this study;5.375;7.4375;2.5;0.16025641;0.2
a2489;Hell Creek Saurornitholestinae no ridges;Lancian;Dromaeosauridae;Hell Creek;this study;5;10.6875;3.6875;0.142857143;0.25
a2490;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;Sankey 2008;3.3;6.5;1.5;0;0
a2491;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;Sankey 2008;3.9;8.7;1.8;0;0
a2492;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;Sankey 2008;3;5.4;1.6;0;0
a2493;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;Sankey 2008;2.4;6.6;1.8;0;0
a2494;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;Sankey 2008;1.6;4.7;1.2;0;0
a2495;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;Sankey 2008;2.1;6.7;1.5;0;0
a2496;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;Sankey 2008;2.5;8.1;1.9;0;0
a2497;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;Sankey 2008;2.7;9.6;1.9;0;0
a2498;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;Sankey 2008;2;;1.2;0;0
a2499;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;Sankey 2008;6;;3.2;0;0
a2500;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;Sankey 2008;5.4;;2.5;0;0
a2501;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;Sankey 2008;5.1;;1.9;0;0
a2502;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;Sankey 2008;4.1;;1.5;0;0
a2503;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;Sankey 2008;4.1;;1.8;0;0
a2504;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;Sankey 2008;2.7;;2.1;0;0
a2505;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;Sankey 2008;4.4;;1.9;0;0
a2506;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;Sankey 2008;3.3;;1.8;0;0
a2507;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;Sankey 2008;3.9;;1.8;0;0
a2508;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;Sankey 2008;4.9;;2.4;0;0
a2509;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;Sankey 2008;4.2;;2.1;0;0
a2510;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;this study;2.3125;5.875;1.5;0;0
a2511;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;this study;2.3438;;1.25;0;0
a2512;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;this study;3.25;6.5938;1.5;0;0.135135135
a2513;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;this study;2.4063;5.3125;1.1875;0;0.120481928
a2514;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;this study;2.1875;;1.25;0;0.107526882
a2515;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;this study;4.25;;2.0625;0;0
a2516;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;this study;4.1875;;2;0;0
a2517;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;this study;4.6875;10.1875;2.4375;0;0
a2518;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;this study;2.975;6.4375;1.375;0;0
a2519;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;this study;3.1875;7;1.625;0;0
a2520;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;this study;2.4688;4.375;1.25;0;0
a2521;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;this study;4.125;9.1875;2;0;0
a2522;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;this study;4.5;;2.0625;0;0
a2523;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;this study;4.5625;;2.25;0;0
a2524;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;this study;4.9375;;2.8125;0;0
a2525;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;this study;4.125;8.1875;2.375;0;0.23255814
a2526;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;this study;4.3125;9.0625;1.875;0;0
a2527;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;this study;4.5625;10.0625;2.25;;
a2528;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;this study;5.9375;14.75;3.125;0;0
a2529;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;this study;5.9375;11.625;2.9375;0;0
a2530;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;this study;5.1875;12.0625;2.5625;0;0
a2531;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;this study;4.5;9.9375;2.75;0;0.135869565
a2532;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;this study;4.125;9.6875;2.25;0;0.188679245
a2533;Hell Creek cf. Paronychodon lacustris;Lancian;Paronychodon;Hell Creek;this study;4.625;;2.4375;0;0
a2534;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.7;6;;;0.166666667
a2535;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;Sankey 2008;5.5;7.5;;;0.2
a2536;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.7;5.7;;;0.166666667
a2537;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.8;7;;;0.166666667
a2538;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3;4.8;;;0.2
a2539;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;Sankey 2008;5;8;;;0.222222222
a2540;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;Sankey 2008;6;7;;;0.25
a2541;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;Sankey 2008;6;10;;;0.2
a2542;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;Sankey 2008;2.5;5;;;0.142857143
a2543;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;Larson and Currie 2013;2.822;4.233;1.08;0;0.131578947
a2544;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.5;;1.8;;0.166666667
a2545;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;Sankey 2008;2.1;;0.9;;0.117647059
a2546;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;Sankey 2008;1.7;3.2;;;0.111111111
a2547;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;this study;2.875;3.125;1.125;0.1;0.147058824
a2548;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;this study;2.9375;3.75;1.25;0.111111111;0.163934426
a2549;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;this study;3.163;;1.25;0.113636364;0.15625
a2550;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;this study;2.5625;4.875;1.25;0;0.15625
a2551;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;this study;2.5;4.0625;1.0625;0.085470085;0.120481928
a2552;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;this study;2.375;3.5;1;0.101010101;0.147058824
a2553;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;this study;2.4375;3.3125;0.9375;0.101010101;0.138888889
a2554;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;this study;1.4375;1.8125;0.5625;0.125;0.11627907
a2555;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;this study;2.4688;;1.0625;0.108695652;0.117647059
a2556;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;this study;2.1875;;0.9125;0.089285714;0.138888889
a2557;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;this study;2.375;3.125;1.0625;0;0.158227848
a2558;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;this study;2.5625;3.5625;1.0625;0;0.15625
a2559;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;this study;2.475;2.875;1.125;0.097087379;0.15625
a2560;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;this study;3;3.6875;1.0625;0.10989011;0.169491525
a2561;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;this study;3;4.1875;1.0625;0.099009901;0.113636364
a2562;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;this study;3.6875;5.875;1.75;0.104166667;0.148809524
a2563;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;this study;2.75;3.375;1.1875;0.107526882;0.15625
a2564;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;this study;2.8125;4.625;1.375;0;0.144927536
a2565;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;this study;2.1875;2.1875;0.9375;0.117647059;0.144927536
a2566;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;this study;3.75;5.5;1.5;0.104166667;0.14084507
a2567;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;this study;3.1875;4.9375;1.3438;0.10989011;0.135135135
a2568;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;this study;3.375;4.8438;1.375;0.125;0.151515152
a2569;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;this study;3;3.5;1.1875;0.120192308;0.15625
a2570;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;this study;3.75;4.9;1.5375;0.11627907;0.142857143
a2571;Hell Creek cf. Richardoestesia gilmorei;Lancian;Richardoestesia;Hell Creek;this study;4.3;;2;0.131578947;0.181818182
a2572;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.3;6.7;1.7;;0.095238095
a2573;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;2.7;5.3;1.4;;0.125
a2574;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.3;9.1;1.8;;0.125
a2575;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.2;6.2;1.5;;0.153846154
a2576;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3;4.8;1.5;;0.125
a2577;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;2.3;4.4;1.4;;0.125
a2578;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;4.2;13;1.8;;0.125
a2579;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.8;8.9;1.7;;0.133333333
a2580;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.9;9.1;1.8;;0.133333333
a2581;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;4.1;8.5;2;;0.125
a2582;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;4.4;8.9;2;;0.142857143
a2583;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;2.9;5.8;1.4;;0.1
a2584;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.5;8.6;1.8;;0.181818182
a2585;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;2.9;5.9;1.5;;0.1
a2586;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;2.7;5.9;1.4;;0.111111111
a2587;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.9;7.3;1.5;;0.1
a2588;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;4.4;9.2;2;;0.153846154
a2589;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;2.7;5.2;1.4;;0.153846154
a2590;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.2;;1.4;;0.142857143
a2591;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;4.5;;2.1;;0.166666667
a2592;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.3;;1.5;;0.111111111
a2593;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;4.2;8.5;;;0.1
a2594;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.9;;1.7;;0.105263158
a2595;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.8;;1.7;;0.153846154
a2596;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.6;;1.8;;0.125
a2597;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;1.8;;1.5;;0.125
a2598;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;2.4;;1.2;;0.1
a2599;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;2.4;;1.2;;0.133333333
a2600;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;4.1;;2;;0.142857143
a2601;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;2.4;;1.2;;0.105263158
a2602;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.6;;1.7;;0.125
a2603;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;4.5;;2.3;;0.142857143
a2604;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.8;;2;;0.111111111
a2605;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3;;1.7;;0.111111111
a2606;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.2;;1.5;;0.117647059
a2607;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;2.6;;1.4;;0.111111111
a2608;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;4.4;;2;;0.111111111
a2609;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;2.9;;1.5;;0.133333333
a2610;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3;;1.5;;0.142857143
a2611;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.9;;2;;0.142857143
a2612;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.9;;1.8;;0.125
a2613;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;4.7;;2.1;;0.125
a2614;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.2;;1.4;;0.083333333
a2615;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.9;;1.7;;0.111111111
a2616;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3.8;;2;;0.133333333
a2617;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;2.1;;1.1;;0.08
a2618;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;2.7;;1.5;;0.142857143
a2619;Hell Creek cf. Richardoestesia isosceles;Lancian;Richardoestesia;Hell Creek;Sankey 2008;3;;1.7;;0.105263158
