MARK ID;Biomechanical Group;SURFACE;VOLUME;MAXIMUM DEPTH;MEAN DEPTH;MAXIMUM LENGTH;MAXIMUM WIDTH;MAXIMUM DEPTH;AREA;WIDTH;ROUGHNESS;OPENING ANGLE;FLOOR RADIUS
DZHT1-4;Bone cruncher;7690000;157000000;85.87;20.38;8070.27;1145.65;91.71;39400;1270;3.14;165.58;3497.3
DZHT1-5;Bone cruncher;56000000;277000000;141.52;49.41;7957.42;1297.51;132.55;59400;1100;5.48;161.4;1859.26
DZHT1-6;Bone cruncher;4790000;135000000;123.56;28.25;11501.28;1095.8;125.84;61400;1065;5.19;162.98;1928.8
DZHT1-7;Bone cruncher;5480000;246000000;178.82;44.97;5824.42;1453.63;172.18;88600;1340;4.79;151.65;1512.89
DZHT1-8;Bone cruncher;7180000;413000000;171.99;51.51;8154.06;1024.43;191.25;73700;1130;7.93;148.74;1794.22
DZHT1-9;Bone cruncher;3040000;241000000;218.03;79.27;1985.36;1863.96;212.79;165000;1815;10.85;159.86;2560.65
DZHT1-10;Bone cruncher;41400000;7560000000;507.3;182.51;16038.27;4263.77;601.46;1350000;4600;16.48;151.47;5264.94
DZHT1-11;Bone cruncher;5360000;358000000;193.39;66.82;3178.4;2165.33;214.69;205000;2505;8.51;168.47;6815.64
DZHT2-1;Bone cruncher;29300000;3560000000;293.81;121.45;14237.68;2172.54;268.6;264000;2130;16.35;165.85;4979.85
DZHT2-2A;Bone cruncher;1430000;54900000;105;38.48;2283.61;1033.69;99.59;51300;1020;3.48;163.67;2136.92
DZHT2-2B;Bone cruncher;937000;36900000;94.32;39.41;1457.21;582.31;80.73;24300;565;2.31;146.79;563.07
DZHT2-3;Bone cruncher;749000;46900000;158.8;62.64;1191.55;911.85;158.9;66900;990;6.48;154.38;963.5
DZHT2-4;Bone cruncher;2110000;89400000;94.43;42.46;2948.54;1046.01;117.43;65500;1150;4.39;160.61;2060.22
DZHT2-5;Bone cruncher;3520000;63000000;81.48;17.9;5313.8;972.58;86.39;30000;910;6.02;167.12;2448.24
DZHT2-6;Bone cruncher;3980000;106000000;90.26;26.64;4500.2;1054.75;99.29;70800;1675;6.05;168.46;4649.48
